Date,Close
1/2/2018 16:00:00,52.07
1/3/2018 16:00:00,55.44
1/4/2018 16:00:00,51.24
1/5/2018 16:00:00,46.28
1/8/2018 16:00:00,47.47
1/9/2018 16:00:00,44.73
1/10/2018 16:00:00,44.71
1/11/2018 16:00:00,43.87
1/12/2018 16:00:00,43.38
1/16/2018 16:00:00,39.19
1/17/2018 16:00:00,41.54
1/18/2018 16:00:00,40.76
1/19/2018 16:00:00,40.22
1/22/2018 16:00:00,43.62
1/23/2018 16:00:00,42.62
1/24/2018 16:00:00,42.25
1/25/2018 16:00:00,44.1
1/26/2018 16:00:00,42.91
1/29/2018 16:00:00,42.36
1/30/2018 16:00:00,41.52
1/31/2018 16:00:00,40.62
2/1/2018 16:00:00,39.92
2/2/2018 16:00:00,40.46
2/5/2018 16:00:00,40.17
2/6/2018 16:00:00,41.9
2/7/2018 16:00:00,45.69
2/8/2018 16:00:00,43.7
2/9/2018 16:00:00,42.46
2/12/2018 16:00:00,43.23
2/13/2018 16:00:00,43.02
2/14/2018 16:00:00,44.85
2/15/2018 16:00:00,45.64
2/16/2018 16:00:00,48.13
2/20/2018 16:00:00,51.18
2/21/2018 16:00:00,51.1
2/22/2018 16:00:00,42.05
2/23/2018 16:00:00,41.52
2/26/2018 16:00:00,40.44
2/27/2018 16:00:00,40.91
2/28/2018 16:00:00,40.77
3/1/2018 16:00:00,38.72
3/2/2018 16:00:00,37.57
3/5/2018 16:00:00,39
3/6/2018 16:00:00,38.58
3/7/2018 16:00:00,38.89
3/8/2018 16:00:00,38.69
3/9/2018 16:00:00,38.5
3/12/2018 16:00:00,37.87
3/13/2018 16:00:00,37.37
3/14/2018 16:00:00,36.93
3/15/2018 16:00:00,36.27
3/16/2018 16:00:00,35.86
3/19/2018 16:00:00,33.85
3/20/2018 16:00:00,34.73
3/21/2018 16:00:00,34.25
3/22/2018 16:00:00,33.51
3/23/2018 16:00:00,32.06
3/26/2018 16:00:00,34.59
3/27/2018 16:00:00,33
3/28/2018 16:00:00,31.3
3/29/2018 16:00:00,31.1
4/2/2018 16:00:00,30.33
4/3/2018 16:00:00,30.29
4/4/2018 16:00:00,32.27
4/5/2018 16:00:00,31.76
4/6/2018 16:00:00,31.36
4/9/2018 16:00:00,32.61
4/10/2018 16:00:00,32.27
4/11/2018 16:00:00,32.01
4/12/2018 16:00:00,33.69
4/13/2018 16:00:00,32.69
4/16/2018 16:00:00,33.02
4/17/2018 16:00:00,35.98
4/18/2018 16:00:00,31.72
4/19/2018 16:00:00,32.7
4/20/2018 16:00:00,32.57
4/23/2018 16:00:00,32.27
4/24/2018 16:00:00,32.4
4/25/2018 16:00:00,31.88
4/26/2018 16:00:00,32.91
4/27/2018 16:00:00,32.7
4/30/2018 16:00:00,32.54
5/1/2018 16:00:00,32.97
5/2/2018 16:00:00,33.36
5/3/2018 16:00:00,31.02
5/4/2018 16:00:00,31.55
5/7/2018 16:00:00,33.17
5/8/2018 16:00:00,33.12
5/9/2018 16:00:00,36.08
5/10/2018 16:00:00,35.46
5/11/2018 16:00:00,35.14
5/14/2018 16:00:00,35.3
5/15/2018 16:00:00,34.08
5/16/2018 16:00:00,34.44
5/17/2018 16:00:00,34.26
5/18/2018 16:00:00,35.4
5/21/2018 16:00:00,34.74
5/22/2018 16:00:00,34.04
5/23/2018 16:00:00,34.55
5/24/2018 16:00:00,35.99
5/25/2018 16:00:00,38.54
5/29/2018 16:00:00,38.6
5/30/2018 16:00:00,38.45
5/31/2018 16:00:00,37.46
6/1/2018 16:00:00,37.07
6/4/2018 16:00:00,38.03
6/5/2018 16:00:00,40.26
6/6/2018 16:00:00,39.45
6/7/2018 16:00:00,39.57
6/8/2018 16:00:00,39.24
6/11/2018 16:00:00,41.46
6/12/2018 16:00:00,41.46
6/13/2018 16:00:00,43.43
6/14/2018 16:00:00,45.02
6/15/2018 16:00:00,43.3
6/18/2018 16:00:00,44.93
6/19/2018 16:00:00,45.27
6/20/2018 16:00:00,46.75
6/21/2018 16:00:00,45.37
6/22/2018 16:00:00,44.71
6/25/2018 16:00:00,42.01
6/26/2018 16:00:00,43.99
6/27/2018 16:00:00,41.42
6/28/2018 16:00:00,41.62
6/29/2018 16:00:00,42.62
7/2/2018 16:00:00,43.29
7/3/2018 13:00:00,45.54
7/5/2018 16:00:00,45.41
7/6/2018 16:00:00,46.7
7/9/2018 16:00:00,46.33
7/10/2018 16:00:00,45.99
7/11/2018 16:00:00,45.91
7/12/2018 16:00:00,48.31
7/13/2018 16:00:00,48.76
7/16/2018 16:00:00,48.26
7/17/2018 16:00:00,51.39
7/18/2018 16:00:00,49.5
7/19/2018 16:00:00,49.79
7/20/2018 16:00:00,49.77
7/23/2018 16:00:00,49.74
