Date,Close
1/2/2018 16:00:00,14.95
1/3/2018 16:00:00,15.31
1/4/2018 16:00:00,14.59
1/5/2018 16:00:00,14.5
1/8/2018 16:00:00,14.06
1/9/2018 16:00:00,14.1
1/10/2018 16:00:00,14.65
1/11/2018 16:00:00,14.6
1/12/2018 16:00:00,14.11
1/16/2018 16:00:00,13.5
1/17/2018 16:00:00,13.52
1/18/2018 16:00:00,14.01
1/19/2018 16:00:00,14.04
1/22/2018 16:00:00,14.17
1/23/2018 16:00:00,14.25
1/24/2018 16:00:00,14.44
1/25/2018 16:00:00,13.71
1/26/2018 16:00:00,13.56
1/29/2018 16:00:00,13.47
1/30/2018 16:00:00,13.26
1/31/2018 16:00:00,13.52
2/1/2018 16:00:00,13.92
2/2/2018 16:00:00,13.71
2/5/2018 16:00:00,13.85
2/6/2018 16:00:00,14.06
2/7/2018 16:00:00,20.75
2/8/2018 16:00:00,19.39
2/9/2018 16:00:00,18.8
2/12/2018 16:00:00,18.63
2/13/2018 16:00:00,18.58
2/14/2018 16:00:00,19.56
2/15/2018 16:00:00,19.75
2/16/2018 16:00:00,20.42
2/20/2018 16:00:00,18.93
2/21/2018 16:00:00,18.64
2/22/2018 16:00:00,17.51
2/23/2018 16:00:00,17.45
2/26/2018 16:00:00,17.09
2/27/2018 16:00:00,16.32
2/28/2018 16:00:00,17.32
3/1/2018 16:00:00,17.21
3/2/2018 16:00:00,18.01
3/5/2018 16:00:00,18.25
3/6/2018 16:00:00,18.01
3/7/2018 16:00:00,18.02
3/8/2018 16:00:00,17.65
3/9/2018 16:00:00,17.88
3/12/2018 16:00:00,18.11
3/13/2018 16:00:00,17.51
3/14/2018 16:00:00,17.85
3/15/2018 16:00:00,17.2
3/16/2018 16:00:00,17.01
3/19/2018 16:00:00,16.42
3/20/2018 16:00:00,16
3/21/2018 16:00:00,16.57
3/22/2018 16:00:00,16.57
3/23/2018 16:00:00,16.36
3/26/2018 16:00:00,16.25
3/27/2018 16:00:00,16.2
3/28/2018 16:00:00,15.95
3/29/2018 16:00:00,15.87
4/2/2018 16:00:00,14.46
4/3/2018 16:00:00,14.08
4/4/2018 16:00:00,14.59
4/5/2018 16:00:00,14.39
4/6/2018 16:00:00,14.25
4/9/2018 16:00:00,14.15
4/10/2018 16:00:00,14.48
4/11/2018 16:00:00,14.8
4/12/2018 16:00:00,14.92
4/13/2018 16:00:00,14.88
4/16/2018 16:00:00,14.58
4/17/2018 16:00:00,14.88
4/18/2018 16:00:00,14.65
4/19/2018 16:00:00,14.84
4/20/2018 16:00:00,15.2
4/23/2018 16:00:00,15.54
4/24/2018 16:00:00,15.63
4/25/2018 16:00:00,14.54
4/26/2018 16:00:00,14.7
4/27/2018 16:00:00,14.23
4/30/2018 16:00:00,14.33
5/1/2018 16:00:00,14.13
5/2/2018 16:00:00,11.03
5/3/2018 16:00:00,10.97
5/4/2018 16:00:00,10.79
5/7/2018 16:00:00,10.74
5/8/2018 16:00:00,10.97
5/9/2018 16:00:00,11.01
5/10/2018 16:00:00,11.01
5/11/2018 16:00:00,11.04
5/14/2018 16:00:00,10.98
5/15/2018 16:00:00,10.65
5/16/2018 16:00:00,10.58
5/17/2018 16:00:00,10.57
5/18/2018 16:00:00,10.58
5/21/2018 16:00:00,10.71
5/22/2018 16:00:00,10.74
5/23/2018 16:00:00,10.65
5/24/2018 16:00:00,10.6
5/25/2018 16:00:00,10.71
5/29/2018 16:00:00,10.55
5/30/2018 16:00:00,10.97
5/31/2018 16:00:00,11.39
6/1/2018 16:00:00,11.63
6/4/2018 16:00:00,12.32
6/5/2018 16:00:00,12.93
6/6/2018 16:00:00,13.13
6/7/2018 16:00:00,12.73
6/8/2018 16:00:00,13.08
6/11/2018 16:00:00,13.17
6/12/2018 16:00:00,13.42
6/13/2018 16:00:00,13.62
6/14/2018 16:00:00,13.87
6/15/2018 16:00:00,14.02
6/18/2018 16:00:00,14.05
6/19/2018 16:00:00,13.31
6/20/2018 16:00:00,12.8
6/21/2018 16:00:00,13.24
6/22/2018 16:00:00,13.2
6/25/2018 16:00:00,13.1
6/26/2018 16:00:00,13
6/27/2018 16:00:00,12.82
6/28/2018 16:00:00,13.4
6/29/2018 16:00:00,13.09
7/2/2018 16:00:00,13.15
7/3/2018 13:00:00,13.15
7/5/2018 16:00:00,13.21
7/6/2018 16:00:00,13.53
7/9/2018 16:00:00,13.65
7/10/2018 16:00:00,13.31
7/11/2018 16:00:00,13.4
7/12/2018 16:00:00,13.65
7/13/2018 16:00:00,13.36
7/16/2018 16:00:00,13.07
7/17/2018 16:00:00,13.42
7/18/2018 16:00:00,13.35
7/19/2018 16:00:00,13.43
7/20/2018 16:00:00,13.27
7/23/2018 16:00:00,13.39
7/24/2018 16:00:00,13.14
7/25/2018 16:00:00,13.39
7/26/2018 16:00:00,13.37
7/27/2018 16:00:00,12.83
7/30/2018 16:00:00,12.27
7/31/2018 16:00:00,12.5
8/1/2018 16:00:00,12.38
8/2/2018 16:00:00,12.7
8/3/2018 16:00:00,12.73
8/6/2018 16:00:00,13.05
8/7/2018 16:00:00,13.12
8/8/2018 16:00:00,12.23
